city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Guadalupe,Guadalupe,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.3664,-111.9633,6525,3134,polygon,FALSE,TRUE,America/Phoenix,2,85283,1840021948
Williams,Williams,AZ,Arizona,4005,Coconino,4005,Coconino,35.2476,-112.1833,2757,27,polygon,FALSE,TRUE,America/Phoenix,3,86046,1840021585
Wilhoit,Wilhoit,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.4083,-112.6156,870,21,polygon,FALSE,FALSE,America/Phoenix,3,86332,1840019165
Kachina Village,Kachina Village,AZ,Arizona,4005,Coconino,4005,Coconino,35.0949,-111.6927,3013,951,polygon,FALSE,FALSE,America/Phoenix,3,86001,1840017663
La Paz Valley,La Paz Valley,AZ,Arizona,4012,La Paz,4012,La Paz,33.5578,-114.2434,497,6,polygon,FALSE,FALSE,America/Phoenix,3,85346,1840022878
Theba,Theba,AZ,Arizona,4013,Maricopa,4013,Maricopa,32.9181,-112.8903,75,46,polygon,FALSE,FALSE,America/Phoenix,3,85337,1840022925
Greasewood,Greasewood,AZ,Arizona,4017,Navajo,4017,Navajo,35.5279,-109.8613,502,36,polygon,FALSE,FALSE,America/Denver,3,86505,1840017656
Santa Rosa,Santa Rosa,AZ,Arizona,4019,Pima,4019,Pima,32.3326,-112.0464,390,22,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840019484
Icehouse Canyon,Icehouse Canyon,AZ,Arizona,4007,Gila,4007,Gila,33.3553,-110.7965,453,35,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840075398
Sells,Sells,AZ,Arizona,4019,Pima,4019,Pima,31.9202,-111.8775,2688,109,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840019485
El Prado Estates,El Prado Estates,AZ,Arizona,4027,Yuma,4027,Yuma,32.7062,-114.5215,665,265,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075355
Mayer,Mayer,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.4233,-112.2408,1948,37,polygon,FALSE,FALSE,America/Phoenix,3,86333,1840017848
Spring Valley,Spring Valley,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.3531,-112.1513,1404,51,polygon,FALSE,FALSE,America/Phoenix,3,86333,1840019161
Tucson Estates,Tucson Estates,AZ,Arizona,4019,Pima,4019,Pima,32.1792,-111.1254,12047,357,polygon,FALSE,FALSE,America/Phoenix,3,85713 85735,1840027929
San Carlos,San Carlos,AZ,Arizona,4007,Gila,4007,Gila,33.35,-110.4654,4395,197,polygon,FALSE,FALSE,America/Phoenix,3,85550,1840019263
Queen Creek,Queen Creek,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.2367,-111.6389,39184,503,polygon,FALSE,TRUE,America/Phoenix,3,85142,1840021944
Dateland,Dateland,AZ,Arizona,4027,Yuma,4027,Yuma,32.8209,-113.5418,356,6,polygon,FALSE,FALSE,America/Phoenix,3,85333 85347,1840022978
Lake Montezuma,Lake Montezuma,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.6414,-111.796,5013,161,polygon,FALSE,FALSE,America/Phoenix,3,86335 86342,1840017849
Sacaton Flats Village,Sacaton Flats Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.0559,-111.659,457,28,polygon,FALSE,TRUE,America/Phoenix,3,85147 85128,1840042786
Ventana,Ventana,AZ,Arizona,4019,Pima,4019,Pima,32.4681,-112.2434,87,32,polygon,FALSE,FALSE,America/Phoenix,3,85634 85321,1840023080
Cedar Creek,Cedar Creek,AZ,Arizona,4007,Gila,4007,Gila,33.903,-110.1929,605,13,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840022861
Pima,Pima,AZ,Arizona,4009,Graham,4009,Graham,32.8886,-109.8437,2513,132,polygon,FALSE,TRUE,America/Phoenix,3,85543,1840022954
San Simon,San Simon,AZ,Arizona,4003,Cochise,4003,Cochise,32.2679,-109.2308,132,72,polygon,FALSE,FALSE,America/Phoenix,3,85632,1840023091
Stotonic Village,Stotonic Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.1528,-111.8167,379,29,polygon,FALSE,TRUE,America/Phoenix,3,85248 85147,1840042796
Jakes Corner,Jakes Corner,AZ,Arizona,4007,Gila,4007,Gila,34.0083,-111.3202,32,8,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022864
Tees Toh,Tees Toh,AZ,Arizona,4017,Navajo,4017,Navajo,35.4849,-110.3989,529,12,polygon,FALSE,FALSE,America/Denver,3,86047,1840022585
Yuma,Yuma,AZ,Arizona,4027,Yuma,4027,Yuma,32.5991,-114.5488,138802,304,polygon,FALSE,TRUE,America/Phoenix,2,85365 85364 85369,1840021998
McNary,McNary,AZ,Arizona,4001,Apache,04001|04017,Apache|Navajo,34.0924,-109.8541,673,47,polygon,FALSE,FALSE,America/Phoenix,3,85935 85930,1840018996
Avra Valley,Avra Valley,AZ,Arizona,4019,Pima,4019,Pima,32.4195,-111.3393,5227,90,polygon,FALSE,FALSE,America/Phoenix,3,85653,1840027985
Ak-Chin Village,Ak-Chin Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.0197,-112.0808,1101,40,polygon,FALSE,FALSE,America/Phoenix,3,85139,1840018029
Verde Village,Verde Village,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.712,-111.994,12584,700,polygon,FALSE,FALSE,America/Phoenix,3,86326,1840017843
Nogales,Nogales,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.3624,-110.9336,30876,372,polygon,FALSE,TRUE,America/Phoenix,3,85621,1840020823
Sunwest,Sunwest,AZ,Arizona,4012,La Paz,4012,La Paz,33.651,-113.4091,22,0,polygon,FALSE,TRUE,America/Phoenix,3,85348,1840038121
Elgin,Elgin,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.668,-110.5347,112,7,polygon,FALSE,FALSE,America/Phoenix,3,85611,1840018173
Window Rock,Window Rock,AZ,Arizona,4001,Apache,4001,Apache,35.6705,-109.0639,3282,239,polygon,FALSE,FALSE,America/Denver,3,86515,1840019005
Bryce,Bryce,AZ,Arizona,4009,Graham,4009,Graham,32.9258,-109.8229,69,31,polygon,FALSE,FALSE,America/Phoenix,3,85543,1840022956
Dilkon,Dilkon,AZ,Arizona,4017,Navajo,4017,Navajo,35.3606,-110.3155,1320,30,polygon,FALSE,FALSE,America/Denver,3,86047,1840018960
Bowie,Bowie,AZ,Arizona,4003,Cochise,4003,Cochise,32.3247,-109.4842,337,76,polygon,FALSE,FALSE,America/Phoenix,3,85605,1840023084
Arivaca Junction,Arivaca Junction,AZ,Arizona,4019,Pima,4019,Pima,31.739,-111.0738,1187,156,polygon,FALSE,FALSE,America/Phoenix,3,85645,1840023065
Arizona City,Arizona City,AZ,Arizona,4021,Pinal,4021,Pinal,32.7506,-111.6707,11030,694,polygon,FALSE,FALSE,America/Phoenix,3,85193 85123,1840018030
Meadview,Meadview,AZ,Arizona,4015,Mohave,4015,Mohave,35.9532,-114.0789,857,10,polygon,FALSE,FALSE,America/Phoenix,3,86444,1840023182
Walnut Creek,Walnut Creek,AZ,Arizona,4015,Mohave,4015,Mohave,35.1312,-114.1267,528,132,polygon,FALSE,TRUE,America/Phoenix,3,86413,1840075545
Fort Thomas,Fort Thomas,AZ,Arizona,4009,Graham,4009,Graham,33.0222,-109.9665,577,25,polygon,FALSE,FALSE,America/Phoenix,3,85536,1840022959
Sun Lakes,Sun Lakes,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.2172,-111.8695,14800,1063,polygon,FALSE,FALSE,America/Phoenix,3,85248,1840019313
San Jose,San Jose,AZ,Arizona,4009,Graham,4009,Graham,32.8169,-109.5957,599,55,polygon,FALSE,FALSE,America/Phoenix,3,85546,1840022960
Mead Ranch,Mead Ranch,AZ,Arizona,4007,Gila,4007,Gila,34.3462,-111.1428,0,0,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075411
Central,Central,AZ,Arizona,4009,Graham,4009,Graham,32.8692,-109.7908,369,85,polygon,FALSE,FALSE,America/Phoenix,3,85531 85543,1840022958
White Mountain Lake,White Mountain Lake,AZ,Arizona,4017,Navajo,4017,Navajo,34.3441,-109.9878,2476,39,polygon,FALSE,FALSE,America/Phoenix,3,85912 85901,1840022587
Ganado,Ganado,AZ,Arizona,4001,Apache,4001,Apache,35.7016,-109.5504,1035,43,polygon,FALSE,FALSE,America/Denver,3,86505,1840017676
Kino Springs,Kino Springs,AZ,Arizona,4023,Santa Cruz,4023,Santa Cruz,31.3641,-110.8095,400,597,polygon,FALSE,FALSE,America/Phoenix,3,85621,1840023120
Cibecue,Cibecue,AZ,Arizona,4017,Navajo,4017,Navajo,34.0332,-110.4854,2218,143,polygon,FALSE,FALSE,America/Phoenix,3,85911,1840017654
Donovan Estates,Donovan Estates,AZ,Arizona,4027,Yuma,4027,Yuma,32.7094,-114.6782,1373,4370,polygon,FALSE,TRUE,America/Tijuana,2,85364,1840075311
Salome,Salome,AZ,Arizona,4012,La Paz,4012,La Paz,33.7778,-113.6061,1296,15,polygon,FALSE,FALSE,America/Phoenix,3,85348,1840019269
Tanque Verde,Tanque Verde,AZ,Arizona,4019,Pima,4019,Pima,32.2687,-110.7437,16197,193,polygon,FALSE,FALSE,America/Phoenix,3,85749 85748,1840019489
Picacho,Picacho,AZ,Arizona,4021,Pinal,4021,Pinal,32.709,-111.4907,427,26,polygon,FALSE,FALSE,America/Phoenix,3,85141,1840022984
Catalina Foothills,Catalina Foothills,AZ,Arizona,4019,Pima,4019,Pima,32.3041,-110.8835,50202,463,polygon,FALSE,FALSE,America/Phoenix,3,85718 85750 85715 85728,1840018110
Taylor,Taylor,AZ,Arizona,4017,Navajo,4017,Navajo,34.4393,-110.1018,4185,49,polygon,FALSE,TRUE,America/Phoenix,3,85939,1840022573
Congress,Congress,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.1526,-112.8642,1454,14,polygon,FALSE,FALSE,America/Phoenix,3,85332,1840017840
Swift Trail Junction,Swift Trail Junction,AZ,Arizona,4009,Graham,4009,Graham,32.7305,-109.7147,3304,347,polygon,FALSE,FALSE,America/Phoenix,3,85546,1840019341
Oracle,Oracle,AZ,Arizona,4021,Pinal,4021,Pinal,32.6085,-110.7826,3729,91,polygon,FALSE,FALSE,America/Phoenix,3,85623,1840019359
Supai,Supai,AZ,Arizona,4005,Coconino,4005,Coconino,36.2299,-112.6926,0,0,polygon,FALSE,FALSE,America/Phoenix,3,86435,1840018974
Truxton,Truxton,AZ,Arizona,4015,Mohave,4015,Mohave,35.487,-113.5607,121,12,polygon,FALSE,FALSE,America/Phoenix,3,86411 86434,1840023186
Nelson,Nelson,AZ,Arizona,4019,Pima,4019,Pima,32.4298,-111.2649,473,383,polygon,FALSE,FALSE,America/Phoenix,3,85653,1840137559
Stanfield,Stanfield,AZ,Arizona,4021,Pinal,4021,Pinal,32.8793,-111.9636,405,39,polygon,FALSE,FALSE,America/Phoenix,3,85172,1840019366
Hunter Creek,Hunter Creek,AZ,Arizona,4007,Gila,4007,Gila,34.3054,-111.0159,19,3,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075397
Cameron,Cameron,AZ,Arizona,4005,Coconino,4005,Coconino,35.8537,-111.4269,1178,24,polygon,FALSE,FALSE,America/Denver,3,86020,1840017662
Jerome,Jerome,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7466,-112.1072,455,203,polygon,FALSE,TRUE,America/Phoenix,3,86331,1840021773
Alamo Lake,Alamo Lake,AZ,Arizona,4012,La Paz,4012,La Paz,34.2588,-113.5079,3,0,polygon,FALSE,TRUE,America/Phoenix,3,85357,1840075227
Coolidge,Coolidge,AZ,Arizona,4021,Pinal,4021,Pinal,32.9395,-111.5261,11725,67,polygon,FALSE,TRUE,America/Phoenix,3,85194 85128,1840019367
Carefree,Carefree,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.8234,-111.9161,3783,165,polygon,FALSE,TRUE,America/Phoenix,3,85377,1840022914
Pinedale,Pinedale,AZ,Arizona,4017,Navajo,4017,Navajo,34.3208,-110.2599,320,12,polygon,FALSE,FALSE,America/Phoenix,3,85934,1840022582
Huachuca City,Huachuca City,AZ,Arizona,4003,Cochise,4003,Cochise,31.6308,-110.3422,1729,236,polygon,FALSE,TRUE,America/Phoenix,3,85616,1840022106
Topock,Topock,AZ,Arizona,4015,Mohave,4015,Mohave,34.7206,-114.478,14,20,polygon,FALSE,FALSE,America/Phoenix,3,86436,1840023185
Mojave Ranch Estates,Mojave Ranch Estates,AZ,Arizona,4015,Mohave,4015,Mohave,34.9449,-114.5907,21,10,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840027982
Wagon Wheel,Wagon Wheel,AZ,Arizona,4017,Navajo,4017,Navajo,34.1976,-110.0272,1259,191,polygon,FALSE,TRUE,America/Phoenix,3,85929 85901,1840075510
San Luis,San Luis,AZ,Arizona,4027,Yuma,4027,Yuma,32.4911,-114.7089,30647,367,polygon,FALSE,TRUE,America/Phoenix,3,85350 85349,1840021996
Cottonwood,Cottonwood,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7194,-112.0015,12023,279,polygon,FALSE,TRUE,America/Phoenix,3,86326,1840019168
Golden Valley,Golden Valley,AZ,Arizona,4015,Mohave,4015,Mohave,35.206,-114.2327,8694,42,polygon,FALSE,FALSE,America/Phoenix,3,86413,1840018339
Paradise Valley,Paradise Valley,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.5434,-111.9595,14293,358,polygon,FALSE,TRUE,America/Phoenix,3,85253,1840022913
Palominas,Palominas,AZ,Arizona,4003,Cochise,4003,Cochise,31.3838,-110.1212,249,49,polygon,FALSE,FALSE,America/Phoenix,3,85615,1840023090
Oak Springs,Oak Springs,AZ,Arizona,4001,Apache,4001,Apache,35.4759,-109.1319,84,174,polygon,FALSE,FALSE,America/Denver,3,86511,1840027932
East Verde Estates,East Verde Estates,AZ,Arizona,4007,Gila,4007,Gila,34.2983,-111.3645,167,25,polygon,FALSE,TRUE,America/Phoenix,3,85541,1840075337
Thatcher,Thatcher,AZ,Arizona,4009,Graham,4009,Graham,32.832,-109.7595,5021,296,polygon,FALSE,TRUE,America/Phoenix,3,85552,1840022955
Florence,Florence,AZ,Arizona,4021,Pinal,4021,Pinal,33.059,-111.4209,16935,160,polygon,FALSE,TRUE,America/Phoenix,3,85132,1840021999
Charco,Charco,AZ,Arizona,4019,Pima,4019,Pima,32.2474,-112.6001,12,4,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840023066
Linden,Linden,AZ,Arizona,4017,Navajo,4017,Navajo,34.2625,-110.1424,2856,36,polygon,FALSE,FALSE,America/Phoenix,3,85901,1840022580
So-Hi,So-Hi,AZ,Arizona,4015,Mohave,4015,Mohave,35.2527,-114.1415,223,98,polygon,FALSE,TRUE,America/Phoenix,3,86413,1840075493
Valle Vista,Valle Vista,AZ,Arizona,4015,Mohave,4015,Mohave,35.4109,-113.8627,1959,63,polygon,FALSE,TRUE,America/Phoenix,3,86401,1840075499
Rillito,Rillito,AZ,Arizona,4019,Pima,4019,Pima,32.4157,-111.1549,51,243,polygon,FALSE,FALSE,America/Phoenix,3,85654 85653,1840023075
Safford,Safford,AZ,Arizona,4009,Graham,4009,Graham,32.8318,-109.7006,19302,435,polygon,FALSE,TRUE,America/Phoenix,3,85546,1840021989
Rye,Rye,AZ,Arizona,4007,Gila,4007,Gila,34.0979,-111.3542,108,81,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022867
Gisela,Gisela,AZ,Arizona,4007,Gila,4007,Gila,34.1015,-111.2895,642,86,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840017946
Claypool,Claypool,AZ,Arizona,4007,Gila,4007,Gila,33.406,-110.8421,1428,469,polygon,FALSE,FALSE,America/Phoenix,3,85539,1840017944
South Tucson,South Tucson,AZ,Arizona,4019,Pima,4019,Pima,32.1955,-110.9692,5643,2121,polygon,FALSE,TRUE,America/Phoenix,2,85713,1840022100
Chilchinbito,Chilchinbito,AZ,Arizona,4017,Navajo,4017,Navajo,36.5027,-110.0512,887,14,polygon,FALSE,FALSE,America/Denver,3,86033,1840017655
Chinle,Chinle,AZ,Arizona,4001,Apache,4001,Apache,36.1504,-109.5793,5698,137,polygon,FALSE,FALSE,America/Denver,3,86503,1840017672
Rock Point,Rock Point,AZ,Arizona,4001,Apache,4001,Apache,36.7173,-109.6287,484,13,polygon,FALSE,FALSE,America/Denver,3,86545,1840018999
Santa Cruz,Santa Cruz,AZ,Arizona,4021,Pinal,4021,Pinal,33.2326,-112.1593,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85339,1840025878
Peeples Valley,Peeples Valley,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.2773,-112.7654,474,12,polygon,FALSE,FALSE,America/Phoenix,3,85362 86332,1840019163
Camp Verde,Camp Verde,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.5699,-111.8573,11201,100,polygon,FALSE,TRUE,America/Phoenix,3,86322,1840022752
Douglas,Douglas,AZ,Arizona,4003,Cochise,4003,Cochise,31.3602,-109.5394,16438,624,polygon,FALSE,TRUE,America/Phoenix,3,85608 85607 85655,1840019496
Beaver Dam,Beaver Dam,AZ,Arizona,4015,Mohave,4015,Mohave,36.9071,-113.9363,1587,72,polygon,FALSE,FALSE,America/Phoenix,3,86432,1840023172
Many Farms,Many Farms,AZ,Arizona,4001,Apache,4001,Apache,36.3532,-109.6271,1322,62,polygon,FALSE,FALSE,America/Denver,3,86538 86503,1840017674
Hayden,Hayden,AZ,Arizona,4007,Gila,4007,Gila,32.9995,-110.7814,631,192,polygon,FALSE,TRUE,America/Phoenix,3,85135 85192,1840021911
Cibola,Cibola,AZ,Arizona,4012,La Paz,4012,La Paz,33.3733,-114.6792,414,8,polygon,FALSE,FALSE,America/Phoenix,3,85334 85328,1840017956
Pinetop-Lakeside,Pinetop-Lakeside,AZ,Arizona,4017,Navajo,4017,Navajo,34.1486,-109.9658,4361,150,polygon,FALSE,TRUE,America/Phoenix,3,85935 85929,1840022571
Pine Lake,Pine Lake,AZ,Arizona,4015,Mohave,4015,Mohave,35.0887,-113.8739,50,11,polygon,FALSE,TRUE,America/Phoenix,3,86401,1840075424
El Capitan,El Capitan,AZ,Arizona,4007,Gila,4007,Gila,33.2383,-110.7833,121,7,polygon,FALSE,TRUE,America/Phoenix,3,85192 85501,1840075340
Naco,Naco,AZ,Arizona,4003,Cochise,4003,Cochise,31.343,-109.9337,833,97,polygon,FALSE,FALSE,America/Phoenix,3,85603 85620,1840019491
Valentine,Valentine,AZ,Arizona,4015,Mohave,4015,Mohave,35.3886,-113.6591,60,14,polygon,FALSE,FALSE,America/Phoenix,3,86437,1840023187
Ali Chukson,Ali Chukson,AZ,Arizona,4019,Pima,4019,Pima,31.9114,-111.8018,107,19,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023061
Arlington,Arlington,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.3346,-112.7747,97,16,polygon,FALSE,FALSE,America/Phoenix,3,85322,1840022920
Oljato-Monument Valley,Oljato-Monument Valley,AZ,Arizona,4017,Navajo,4017,Navajo,36.9867,-110.191,202,6,polygon,FALSE,TRUE,America/Denver,3,84536,1840037122
Red Mesa,Red Mesa,AZ,Arizona,4001,Apache,4001,Apache,36.9664,-109.3828,367,11,polygon,FALSE,FALSE,America/Denver,3,86514,1840018998
Whetstone,Whetstone,AZ,Arizona,4003,Cochise,4003,Cochise,31.7011,-110.3398,2191,71,polygon,FALSE,FALSE,America/Phoenix,3,85616,1840027991
Tsaile,Tsaile,AZ,Arizona,4001,Apache,4001,Apache,36.3033,-109.2157,1308,84,polygon,FALSE,FALSE,America/Denver,3,86556 86507,1840136753
Mohave Valley,Mohave Valley,AZ,Arizona,4015,Mohave,4015,Mohave,34.9008,-114.5732,2984,82,polygon,FALSE,FALSE,America/Phoenix,3,86440,1840019745
Prescott,Prescott,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.585,-112.4475,42731,367,polygon,FALSE,TRUE,America/Phoenix,3,86305 86301 86303 86313 86302 86304,1840020436
Clay Springs,Clay Springs,AZ,Arizona,4017,Navajo,4017,Navajo,34.3592,-110.3043,392,53,polygon,FALSE,FALSE,America/Phoenix,3,85923,1840022574
Pinetop Country Club,Pinetop Country Club,AZ,Arizona,4017,Navajo,4017,Navajo,34.1163,-109.891,1677,95,polygon,FALSE,TRUE,America/Phoenix,3,85935,1840075441
Centennial Park,Centennial Park,AZ,Arizona,4015,Mohave,4015,Mohave,36.9538,-112.9813,1550,275,polygon,FALSE,TRUE,America/Phoenix,3,86021 86022,1840075272
Somerton,Somerton,AZ,Arizona,4027,Yuma,4027,Yuma,32.6009,-114.699,19168,839,polygon,FALSE,TRUE,America/Phoenix,3,85350,1840021997
Gadsden,Gadsden,AZ,Arizona,4027,Yuma,4027,Yuma,32.5564,-114.781,502,98,polygon,FALSE,FALSE,America/Phoenix,3,85336,1840018027
Kayenta,Kayenta,AZ,Arizona,4017,Navajo,4017,Navajo,36.7144,-110.259,4630,135,polygon,FALSE,FALSE,America/Denver,3,86033,1840017658
Mammoth,Mammoth,AZ,Arizona,4021,Pinal,4021,Pinal,32.6853,-110.7292,1611,23,polygon,FALSE,TRUE,America/Phoenix,3,85623,1840022980
Anthem,Anthem,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.856,-112.1168,22980,1121,polygon,FALSE,FALSE,America/Phoenix,3,85086,1840022919
Christopher Creek,Christopher Creek,AZ,Arizona,4007,Gila,4007,Gila,34.3206,-111.0072,86,10,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022862
Duncan,Duncan,AZ,Arizona,4011,Greenlee,4011,Greenlee,32.7344,-109.0972,788,141,polygon,FALSE,TRUE,America/Phoenix,3,85534,1840021986
Goodyear Village,Goodyear Village,AZ,Arizona,4021,Pinal,4021,Pinal,33.1973,-111.8724,236,27,polygon,FALSE,TRUE,America/Phoenix,3,85248 85121,1840042768
Utting,Utting,AZ,Arizona,4012,La Paz,4012,La Paz,33.8544,-113.9129,83,1,polygon,FALSE,FALSE,America/Phoenix,3,85325,1840022879
Saddlebrooke,Saddlebrooke,AZ,Arizona,4021,Pinal,4021,Pinal,32.5385,-110.8582,10300,135,polygon,FALSE,TRUE,America/Phoenix,3,85739,1840075484
Padre Ranchitos,Padre Ranchitos,AZ,Arizona,4027,Yuma,4027,Yuma,32.6497,-114.6417,253,336,polygon,FALSE,TRUE,America/Phoenix,3,85365,1840075422
Jeddito,Jeddito,AZ,Arizona,4017,Navajo,4017,Navajo,35.7697,-110.1305,326,23,polygon,FALSE,FALSE,America/Denver,3,86034,1840017657
Nutrioso,Nutrioso,AZ,Arizona,4001,Apache,4001,Apache,33.9515,-109.2058,59,74,polygon,FALSE,FALSE,America/Phoenix,3,85932,1840022624
New River,New River,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.8835,-112.0858,14847,102,polygon,FALSE,FALSE,America/Phoenix,3,85086 85087,1840019307
Anegam,Anegam,AZ,Arizona,4019,Pima,4019,Pima,32.3742,-112.035,86,14,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023063
Joseph City,Joseph City,AZ,Arizona,4017,Navajo,4017,Navajo,34.9614,-110.3274,1260,65,polygon,FALSE,FALSE,America/Phoenix,3,86032,1840022578
Whispering Pines,Whispering Pines,AZ,Arizona,4007,Gila,4007,Gila,34.3728,-111.2813,106,95,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027969
Tonto Basin,Tonto Basin,AZ,Arizona,4007,Gila,4007,Gila,33.8361,-111.3003,1601,19,polygon,FALSE,FALSE,America/Phoenix,3,85553,1840019264
Chandler,Chandler,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.2827,-111.8517,253458,1505,polygon,FALSE,TRUE,America/Phoenix,2,85248 85249 85226 85224 85225 85286 85246,1840019309
Sanders,Sanders,AZ,Arizona,4001,Apache,4001,Apache,35.2095,-109.3224,541,87,polygon,FALSE,FALSE,America/Denver,3,86512,1840022626
Clarkdale,Clarkdale,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7501,-112.0549,4330,160,polygon,FALSE,TRUE,America/Phoenix,3,86326 86324,1840022754
Elephant Head,Elephant Head,AZ,Arizona,4019,Pima,4019,Pima,31.7659,-110.9921,735,38,polygon,FALSE,TRUE,America/Phoenix,3,85645,1840075344
Katherine,Katherine,AZ,Arizona,4015,Mohave,4015,Mohave,35.2206,-114.5615,80,8,polygon,FALSE,FALSE,America/Phoenix,3,86429,1840023179
Moenkopi,Moenkopi,AZ,Arizona,4005,Coconino,4005,Coconino,36.1124,-111.2212,1273,326,polygon,FALSE,FALSE,America/Phoenix,3,86045,1840018967
South Komelik,South Komelik,AZ,Arizona,4019,Pima,4019,Pima,31.7145,-111.7744,308,30,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023077
Oxbow Estates,Oxbow Estates,AZ,Arizona,4007,Gila,4007,Gila,34.1824,-111.343,197,154,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027971
Oatman,Oatman,AZ,Arizona,4015,Mohave,4015,Mohave,35.0273,-114.3839,48,96,polygon,FALSE,FALSE,America/Phoenix,3,86413 86433,1840023184
Chino Valley,Chino Valley,AZ,Arizona,4025,Yavapai,4025,Yavapai,34.7594,-112.4107,11667,71,polygon,FALSE,TRUE,America/Phoenix,3,86323,1840022753
Buckeye,Buckeye,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.4314,-112.6429,68453,67,polygon,FALSE,TRUE,America/Phoenix,3,85326 85396,1840021939
Aguila,Aguila,AZ,Arizona,4013,Maricopa,4013,Maricopa,33.9376,-113.1665,1240,304,polygon,FALSE,FALSE,America/Phoenix,3,85320,1840022918
Bluewater,Bluewater,AZ,Arizona,4012,La Paz,4012,La Paz,34.1681,-114.2667,875,162,polygon,FALSE,FALSE,America/Phoenix,3,85344,1840027986
Klagetoh,Klagetoh,AZ,Arizona,4001,Apache,4001,Apache,35.5011,-109.5283,203,234,polygon,FALSE,FALSE,America/Denver,3,86502 86505,1840022622
Yucca,Yucca,AZ,Arizona,4015,Mohave,4015,Mohave,34.863,-114.1461,61,10,polygon,FALSE,FALSE,America/Phoenix,3,86438,1840023190
Haigler Creek,Haigler Creek,AZ,Arizona,4007,Gila,4007,Gila,34.2163,-110.9719,29,6,polygon,FALSE,TRUE,America/Phoenix,3,85554,1840075384
Wall Lane,Wall Lane,AZ,Arizona,4027,Yuma,4027,Yuma,32.6573,-114.7105,365,322,polygon,FALSE,TRUE,America/Tijuana,3,85365,1840075541
Gu Oidak,Gu Oidak,AZ,Arizona,4019,Pima,4019,Pima,31.9206,-112.0233,98,5,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023070
Bullhead City,Bullhead City,AZ,Arizona,4015,Mohave,4015,Mohave,35.1205,-114.546,49531,261,polygon,FALSE,TRUE,America/Phoenix,3,86442 86429 86430 86439,1840019748
Gold Canyon,Gold Canyon,AZ,Arizona,4021,Pinal,4021,Pinal,33.3715,-111.4369,10684,184,polygon,FALSE,FALSE,America/Phoenix,3,85118 85119,1840018032
Fortuna Foothills,Fortuna Foothills,AZ,Arizona,4027,Yuma,4027,Yuma,32.6616,-114.3973,28200,271,polygon,FALSE,FALSE,America/Phoenix,3,85367,1840027989
Vaiva Vo,Vaiva Vo,AZ,Arizona,4021,Pinal,4021,Pinal,32.7167,-111.9269,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85193,1840022988
Pisinemo,Pisinemo,AZ,Arizona,4019,Pima,4019,Pima,32.0349,-112.3192,356,60,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840019483
